zonas,areas_quartos,enderecos,precos
sul,90 m² construídos3 quartos,"Rua Doutor Ferreira Lopes, Vila Sofia, São Paulo Zona Sul, São Paulo",1.100
sul,63 m² construídos3 quartos,"Avenida Dos Ourives, Jardim São Savério, São Paulo Zona Sul, São Paulo",1.000
sul,68 m² construídos2 quartos,"Rua Doutor Nicolau Alberto Defina, Jardim Da Saúde, São Paulo Zona Sul, São Paulo",1.224
sul,48 m² construídos2 quartos,"Avenida Carlos Liviero, Vila Liviero, São Paulo Zona Sul, São Paulo",1.300
sul,40 m² construídos1 quarto,"Rua Armando Ramos Filho, Moinho Velho, São Paulo Zona Sul, São Paulo",830
sul,40 m² construídos1 quarto,"Rua Manuel José Rodrigues, Vila Caraguatá, São Paulo Zona Sul, São Paulo",900
sul,83 m² construídos3 quartos,"Rua Urano, Aclimação, São Paulo Zona Sul, São Paulo",2.070
sul,70 m² construídos2 quartos,"Avenida Ramalho Ortigão, Vila Gumercindo, São Paulo Zona Sul, São Paulo",1.830
sul,65 m² construídos3 quartos,"Avenida Engenheiro Armando De Arruda Pereira, Vila Do Encontro, São Paulo Zona Sul, São Paulo",1.750
sul,40 m² construídos1 quarto,"Rua Dona Inácia Uchoa, Vila Mariana, São Paulo Zona Sul, São Paulo",1.806
sul,50 m² construídos1 quarto,"Avenida Estado, Cambuci, São Paulo Zona Sul, São Paulo",1.200
sul,60 m² construídos3 quartos,"Rua Dos Cariris Novos, Jardim Santa Emília, São Paulo Zona Sul, São Paulo",1.000
sul,45 m² construídos1 quarto,"Rua Engenheiro João Monteiro Da Gama, Vila Da Saúde, São Paulo Zona Sul, São Paulo",1.100
sul,34 m² construídos1 quarto,"Rua Topázio, Vila Mariana, São Paulo Zona Sul, São Paulo",2.510
sul,85 m² construídos3 quartos,"Avenida Senador Vitorino Freire, Jardim Melo, São Paulo Zona Sul, São Paulo",1.400
sul,65 m² construídos2 quartos,"Avenida Cupecê, 1784, Jardim Prudência, Jardim Prudência, São Paulo Zona Sul, São Paulo",1.291
sul,58 m² construídos2 quartos,"Rua Dom Vilares, Vila Das Mercês, São Paulo Zona Sul, São Paulo",1.300
sul,105 m² construídos2 quartos,"Avenida Dória, Vila Alexandria, São Paulo Zona Sul, São Paulo",2.750
